"","tag","pos"
"1","466850","新北市"
"2","466880","新北市"
"3","466900","新北市"
"4","466910","臺北市"
"5","466920","臺北市"
"6","466930","臺北市"
"7","466940","基隆市"
"8","466950","基隆市"
"9","466990","花蓮縣"
"10","467050","桃園市"
"11","467060","宜蘭縣"
"12","467080","宜蘭縣"
"13","467110","金門縣"
"14","467300","澎湖縣"
"15","467350","澎湖縣"
"16","467410","臺南市"
"17","467420","臺南市"
"18","467440","高雄市"
"19","467480","嘉義市"
"20","467490","臺中市"
"21","467530","嘉義縣"
"22","467540","臺東縣"
"23","467550","南投縣"
"24","467571","新竹縣"
"25","467590","屏東縣"
"26","467610","臺東縣"
"27","467620","臺東縣"
"28","467650","南投縣"
"29","467660","臺東縣"
"30","467770","臺中市"
"31","467790","屏東縣"
"32","467990","連江縣"
"33","C0A520","新北市"
"34","C0A530","新北市"
"35","C0A540","新北市"
"36","C0A550","新北市"
"37","C0A560","新北市"
"38","C0A570","新北市"
"39","C0A640","新北市"
"40","C0A650","新北市"
"41","C0A660","新北市"
"42","C0A860","新北市"
"43","C0A870","新北市"
"44","C0A880","新北市"
"45","C0A890","新北市"
"46","C0A920","新北市"
"47","C0A931","新北市"
"48","C0A940","新北市"
"49","C0A950","新北市"
"50","C0A970","新北市"
"51","C0A980","臺北市"
"52","C0A9A0","臺北市"
"53","C0A9B0","臺北市"
"54","C0A9C0","臺北市"
"55","C0A9E0","臺北市"
"56","C0A9F0","臺北市"
"57","C0AC40","臺北市"
"58","C0AC60","新北市"
"59","C0AC70","臺北市"
"60","C0AC80","臺北市"
"61","C0ACA0","新北市"
"62","C0AD00","新北市"
"63","C0AD10","新北市"
"64","C0AD30","新北市"
"65","C0AD40","新北市"
"66","C0AD50","新北市"
"67","C0AG90","新北市"
"68","C0AH00","新北市"
"69","C0AH10","新北市"
"70","C0AH30","新北市"
"71","C0AH40","臺北市"
"72","C0AH50","新北市"
"73","C0AH70","臺北市"
"74","C0AH80","新北市"
"75","C0AH90","新北市"
"76","C0AI00","新北市"
"77","C0AI10","新北市"
"78","C0AI20","新北市"
"79","C0B010","基隆市"
"80","C0B020","基隆市"
"81","C0C460","桃園市"
"82","C0C480","桃園市"
"83","C0C490","桃園市"
"84","C0C540","桃園市"
"85","C0C590","桃園市"
"86","C0C620","桃園市"
"87","C0C630","桃園市"
"88","C0C650","桃園市"
"89","C0C660","桃園市"
"90","C0C670","桃園市"
"91","C0C680","桃園市"
"92","C0C700","桃園市"
"93","C0C710","桃園市"
"94","C0D360","新竹縣"
"95","C0D390","新竹縣"
"96","C0D430","新竹縣"
"97","C0D480","新竹縣"
"98","C0D540","新竹縣"
"99","C0D550","新竹縣"
"100","C0D560","新竹縣"
"101","C0D570","新竹市"
"102","C0D580","新竹縣"
"103","C0D590","新竹縣"
"104","C0D650","新竹縣"
"105","C0D660","新竹市"
"106","C0E420","苗栗縣"
"107","C0E430","苗栗縣"
"108","C0E520","苗栗縣"
"109","C0E530","苗栗縣"
"110","C0E540","苗栗縣"
"111","C0E550","苗栗縣"
"112","C0E590","苗栗縣"
"113","C0E610","苗栗縣"
"114","C0E730","苗栗縣"
"115","C0E740","苗栗縣"
"116","C0E750","苗栗縣"
"117","C0E780","苗栗縣"
"118","C0E790","苗栗縣"
"119","C0E810","苗栗縣"
"120","C0E820","苗栗縣"
"121","C0E830","苗栗縣"
"122","C0E850","苗栗縣"
"123","C0E860","苗栗縣"
"124","C0E870","苗栗縣"
"125","C0F000","臺中市"
"126","C0F0A0","臺中市"
"127","C0F0B0","臺中市"
"128","C0F0C0","臺中市"
"129","C0F0D0","臺中市"
"130","C0F0E0","臺中市"
"131","C0F850","臺中市"
"132","C0F861","臺中市"
"133","C0F930","臺中市"
"134","C0F970","臺中市"
"135","C0F9A0","臺中市"
"136","C0F9I0","臺中市"
"137","C0F9K0","臺中市"
"138","C0F9L0","臺中市"
"139","C0F9M0","臺中市"
"140","C0F9N0","臺中市"
"141","C0F9O0","臺中市"
"142","C0F9P0","臺中市"
"143","C0F9Q0","臺中市"
"144","C0F9R0","臺中市"
"145","C0F9S0","臺中市"
"146","C0F9T0","臺中市"
"147","C0F9U0","臺中市"
"148","C0F9V0","臺中市"
"149","C0F9X0","臺中市"
"150","C0F9Y0","臺中市"
"151","C0F9Z0","臺中市"
"152","C0G620","彰化縣"
"153","C0G640","彰化縣"
"154","C0G650","彰化縣"
"155","C0G660","彰化縣"
"156","C0G720","彰化縣"
"157","C0G730","彰化縣"
"158","C0G740","彰化縣"
"159","C0G750","彰化縣"
"160","C0G760","彰化縣"
"161","C0G770","彰化縣"
"162","C0G780","彰化縣"
"163","C0G790","彰化縣"
"164","C0G800","彰化縣"
"165","C0G810","彰化縣"
"166","C0G820","彰化縣"
"167","C0G830","彰化縣"
"168","C0G840","彰化縣"
"169","C0G850","彰化縣"
"170","C0G860","彰化縣"
"171","C0G870","彰化縣"
"172","C0G880","彰化縣"
"173","C0G890","彰化縣"
"174","C0H890","南投縣"
"175","C0H950","南投縣"
"176","C0H960","南投縣"
"177","C0H990","南投縣"
"178","C0H9A0","南投縣"
"179","C0H9C0","南投縣"
"180","C0I010","南投縣"
"181","C0I080","南投縣"
"182","C0I090","南投縣"
"183","C0I110","南投縣"
"184","C0I360","南投縣"
"185","C0I370","南投縣"
"186","C0I380","南投縣"
"187","C0I390","南投縣"
"188","C0I410","南投縣"
"189","C0I420","南投縣"
"190","C0I460","南投縣"
"191","C0I480","南投縣"
"192","C0I490","南投縣"
"193","C0I520","南投縣"
"194","C0I530","南投縣"
"195","C0I540","南投縣"
"196","C0K240","雲林縣"
"197","C0K250","雲林縣"
"198","C0K280","雲林縣"
"199","C0K291","雲林縣"
"200","C0K330","雲林縣"
"201","C0K390","雲林縣"
"202","C0K400","雲林縣"
"203","C0K410","雲林縣"
"204","C0K420","雲林縣"
"205","C0K430","雲林縣"
"206","C0K440","雲林縣"
"207","C0K450","雲林縣"
"208","C0K460","雲林縣"
"209","C0K470","雲林縣"
"210","C0K480","雲林縣"
"211","C0K490","雲林縣"
"212","C0K500","雲林縣"
"213","C0K510","雲林縣"
"214","C0K520","雲林縣"
"215","C0K530","雲林縣"
"216","C0K550","雲林縣"
"217","C0K560","雲林縣"
"218","C0K580","雲林縣"
"219","C0M410","嘉義縣"
"220","C0M520","嘉義縣"
"221","C0M530","嘉義縣"
"222","C0M640","嘉義縣"
"223","C0M650","嘉義縣"
"224","C0M660","嘉義縣"
"225","C0M670","嘉義縣"
"226","C0M680","嘉義縣"
"227","C0M690","嘉義縣"
"228","C0M700","嘉義縣"
"229","C0M710","嘉義縣"
"230","C0M720","嘉義縣"
"231","C0M730","嘉義市"
"232","C0M740","嘉義縣"
"233","C0M750","嘉義縣"
"234","C0M760","嘉義縣"
"235","C0M770","嘉義縣"
"236","C0M780","嘉義縣"
"237","C0M790","嘉義縣"
"238","C0M800","嘉義縣"
"239","C0M810","嘉義縣"
"240","C0M820","嘉義縣"
"241","C0M830","嘉義縣"
"242","C0M850","嘉義縣"
"243","C0O810","臺南市"
"244","C0O830","臺南市"
"245","C0O840","臺南市"
"246","C0O860","臺南市"
"247","C0O900","臺南市"
"248","C0O930","臺南市"
"249","C0O950","臺南市"
"250","C0O960","臺南市"
"251","C0O970","臺南市"
"252","C0O980","臺南市"
"253","C0O990","臺南市"
"254","C0R100","屏東縣"
"255","C0R130","屏東縣"
"256","C0R140","屏東縣"
"257","C0R150","屏東縣"
"258","C0R160","屏東縣"
"259","C0R170","屏東縣"
"260","C0R190","屏東縣"
"261","C0R220","屏東縣"
"262","C0R240","屏東縣"
"263","C0R260","屏東縣"
"264","C0R270","屏東縣"
"265","C0R280","屏東縣"
"266","C0R350","屏東縣"
"267","C0R360","屏東縣"
"268","C0R370","屏東縣"
"269","C0R380","屏東縣"
"270","C0R400","屏東縣"
"271","C0R420","屏東縣"
"272","C0R470","屏東縣"
"273","C0R480","屏東縣"
"274","C0R490","屏東縣"
"275","C0R510","屏東縣"
"276","C0R520","屏東縣"
"277","C0R530","屏東縣"
"278","C0R540","屏東縣"
"279","C0R550","屏東縣"
"280","C0R560","屏東縣"
"281","C0R570","屏東縣"
"282","C0R580","屏東縣"
"283","C0R590","屏東縣"
"284","C0R600","屏東縣"
"285","C0R620","屏東縣"
"286","C0R640","屏東縣"
"287","C0R650","屏東縣"
"288","C0S660","臺東縣"
"289","C0S680","臺東縣"
"290","C0S690","臺東縣"
"291","C0S700","臺東縣"
"292","C0S710","臺東縣"
"293","C0S730","臺東縣"
"294","C0S740","臺東縣"
"295","C0S750","臺東縣"
"296","C0S760","臺東縣"
"297","C0S770","臺東縣"
"298","C0S790","臺東縣"
"299","C0S810","臺東縣"
"300","C0S830","臺東縣"
"301","C0S840","臺東縣"
"302","C0S890","臺東縣"
"303","C0S900","臺東縣"
"304","C0S910","臺東縣"
"305","C0S920","臺東縣"
"306","C0S930","臺東縣"
"307","C0S940","臺東縣"
"308","C0S950","臺東縣"
"309","C0S970","臺東縣"
"310","C0S980","臺東縣"
"311","C0S990","臺東縣"
"312","C0SA00","臺東縣"
"313","C0SA10","臺東縣"
"314","C0SA20","臺東縣"
"315","C0SA30","臺東縣"
"316","C0SA40","臺東縣"
"317","C0SA80","臺東縣"
"318","C0T790","花蓮縣"
"319","C0T820","花蓮縣"
"320","C0T870","花蓮縣"
"321","C0T900","花蓮縣"
"322","C0T960","花蓮縣"
"323","C0T9A0","花蓮縣"
"324","C0T9B0","花蓮縣"
"325","C0T9D0","花蓮縣"
"326","C0T9E0","花蓮縣"
"327","C0T9F0","花蓮縣"
"328","C0T9G0","花蓮縣"
"329","C0T9H0","花蓮縣"
"330","C0T9I0","花蓮縣"
"331","C0T9M0","花蓮縣"
"332","C0T9N0","花蓮縣"
"333","C0U520","宜蘭縣"
"334","C0U600","宜蘭縣"
"335","C0U650","宜蘭縣"
"336","C0U710","宜蘭縣"
"337","C0U720","宜蘭縣"
"338","C0U750","宜蘭縣"
"339","C0U760","宜蘭縣"
"340","C0U770","宜蘭縣"
"341","C0U780","宜蘭縣"
"342","C0U860","宜蘭縣"
"343","C0U870","宜蘭縣"
"344","C0U890","宜蘭縣"
"345","C0U900","宜蘭縣"
"346","C0U910","宜蘭縣"
"347","C0U940","宜蘭縣"
"348","C0U950","宜蘭縣"
"349","C0U960","宜蘭縣"
"350","C0U970","宜蘭縣"
"351","C0U980","宜蘭縣"
"352","C0U990","宜蘭縣"
"353","C0UA00","宜蘭縣"
"354","C0UA10","宜蘭縣"
"355","C0UA20","宜蘭縣"
"356","C0UA30","宜蘭縣"
"357","C0UA40","宜蘭縣"
"358","C0UA50","宜蘭縣"
"359","C0UA60","宜蘭縣"
"360","C0UA70","宜蘭縣"
"361","C0V210","高雄市"
"362","C0V250","高雄市"
"363","C0V260","高雄市"
"364","C0V310","高雄市"
"365","C0V350","高雄市"
"366","C0V360","高雄市"
"367","C0V370","高雄市"
"368","C0V400","高雄市"
"369","C0V440","高雄市"
"370","C0V450","高雄市"
"371","C0V490","高雄市"
"372","C0V500","高雄市"
"373","C0V530","高雄市"
"374","C0V610","高雄市"
"375","C0V620","高雄市"
"376","C0V630","高雄市"
"377","C0V640","高雄市"
"378","C0V650","高雄市"
"379","C0V660","高雄市"
"380","C0V670","高雄市"
"381","C0V680","高雄市"
"382","C0V690","高雄市"
"383","C0V700","高雄市"
"384","C0V710","高雄市"
"385","C0V720","高雄市"
"386","C0V730","高雄市"
"387","C0V740","高雄市"
"388","C0V750","高雄市"
"389","C0V760","高雄市"
"390","C0V770","高雄市"
"391","C0V790","高雄市"
"392","C0V800","高雄市"
"393","C0V810","高雄市"
"394","C0V820","高雄市"
"395","C0W110","連江縣"
"396","C0W120","澎湖縣"
"397","C0W130","澎湖縣"
"398","C0W140","金門縣"
"399","C0W150","金門縣"
"400","C0W160","金門縣"
"401","C0W170","連江縣"
"402","C0X050","臺南市"
"403","C0X060","臺南市"
"404","C0X080","臺南市"
"405","C0X100","臺南市"
"406","C0X110","臺南市"
"407","C0X120","臺南市"
"408","C0X130","臺南市"
"409","C0X140","臺南市"
"410","C0X150","臺南市"
"411","C0X160","臺南市"
"412","C0X170","臺南市"
"413","C0X180","臺南市"
"414","C0X190","臺南市"
"415","C0X200","臺南市"
"416","C0X210","臺南市"
"417","C0X220","臺南市"
"418","C0X230","臺南市"
"419","C0X240","臺南市"
"420","C0X250","臺南市"
"421","C0X260","臺南市"
"422","C0X270","臺南市"
"423","C0X280","臺南市"
"424","C0X290","臺南市"
"425","C0X300","臺南市"
"426","C0X310","臺南市"
"427","C0Z020","花蓮縣"
"428","C0Z050","花蓮縣"
"429","C0Z061","花蓮縣"
"430","C0Z070","花蓮縣"
"431","C0Z080","花蓮縣"
"432","C0Z100","花蓮縣"
"433","C0Z150","花蓮縣"
"434","C0Z160","花蓮縣"
"435","C0Z170","花蓮縣"
"436","C0Z180","花蓮縣"
"437","C0Z190","花蓮縣"
"438","C0Z200","花蓮縣"
"439","C0Z210","花蓮縣"
"440","C0Z220","花蓮縣"
"441","C0Z230","花蓮縣"
"442","C0Z250","花蓮縣"
"443","C0Z270","花蓮縣"
"444","C0Z280","花蓮縣"
"445","C0Z290","花蓮縣"
"446","C0Z300","花蓮縣"
"447","C0Z310","花蓮縣"
"448","C0Z320","花蓮縣"
"449","C0Z330","花蓮縣"
"450","C1A630","新北市"
"451","C1A730","臺北市"
"452","C1A9N0","新北市"
"453","C1AC50","臺北市"
"454","C1C510","桃園市"
"455","C1D380","新竹縣"
"456","C1D400","新竹縣"
"457","C1D410","新竹縣"
"458","C1D420","新竹縣"
"459","C1D630","新竹縣"
"460","C1D640","新竹縣"
"461","C1E451","苗栗縣"
"462","C1E461","苗栗縣"
"463","C1E480","苗栗縣"
"464","C1E511","苗栗縣"
"465","C1E601","苗栗縣"
"466","C1E670","苗栗縣"
"467","C1E681","苗栗縣"
"468","C1E691","苗栗縣"
"469","C1E701","苗栗縣"
"470","C1E711","苗栗縣"
"471","C1E721","苗栗縣"
"472","C1E770","苗栗縣"
"473","C1F871","臺中市"
"474","C1F891","臺中市"
"475","C1F911","臺中市"
"476","C1F941","臺中市"
"477","C1F9B1","臺中市"
"478","C1F9C1","臺中市"
"479","C1F9D1","臺中市"
"480","C1F9E1","臺中市"
"481","C1F9F1","臺中市"
"482","C1F9G1","臺中市"
"483","C1F9H1","臺中市"
"484","C1F9J1","臺中市"
"485","C1F9W0","臺中市"
"486","C1G691","彰化縣"
"487","C1H000","南投縣"
"488","C1H860","南投縣"
"489","C1H900","南投縣"
"490","C1H920","南投縣"
"491","C1H941","南投縣"
"492","C1H971","南投縣"
"493","C1H9B1","南投縣"
"494","C1I020","南投縣"
"495","C1I030","南投縣"
"496","C1I050","南投縣"
"497","C1I070","南投縣"
"498","C1I101","南投縣"
"499","C1I121","南投縣"
"500","C1I131","南投縣"
"501","C1I140","南投縣"
"502","C1I150","南投縣"
"503","C1I201","南投縣"
"504","C1I211","南投縣"
"505","C1I220","南投縣"
"506","C1I230","南投縣"
"507","C1I240","南投縣"
"508","C1I250","南投縣"
"509","C1I260","南投縣"
"510","C1I280","南投縣"
"511","C1I290","南投縣"
"512","C1I310","南投縣"
"513","C1I320","南投縣"
"514","C1I330","南投縣"
"515","C1I340","南投縣"
"516","C1I400","南投縣"
"517","C1I430","南投縣"
"518","C1I440","南投縣"
"519","C1I450","南投縣"
"520","C1I470","南投縣"
"521","C1I500","南投縣"
"522","C1I510","南投縣"
"523","C1K540","雲林縣"
"524","C1M390","嘉義縣"
"525","C1M400","嘉義縣"
"526","C1M480","嘉義縣"
"527","C1M600","嘉義縣"
"528","C1M610","嘉義縣"
"529","C1M620","嘉義縣"
"530","C1M640","嘉義縣"
"531","C1N001","臺南市"
"532","C1O850","臺南市"
"533","C1O870","臺南市"
"534","C1O880","臺南市"
"535","C1O921","臺南市"
"536","C1R110","屏東縣"
"537","C1R120","屏東縣"
"538","C1R250","屏東縣"
"539","C1R290","屏東縣"
"540","C1R300","屏東縣"
"541","C1R320","屏東縣"
"542","C1R330","屏東縣"
"543","C1R340","屏東縣"
"544","C1R440","屏東縣"
"545","C1R610","屏東縣"
"546","C1R630","屏東縣"
"547","C1S670","臺東縣"
"548","C1S800","臺東縣"
"549","C1S820","臺東縣"
"550","C1S850","花蓮縣"
"551","C1S860","臺東縣"
"552","C1S870","臺東縣"
"553","C1S880","臺東縣"
"554","C1SA70","臺東縣"
"555","C1T800","花蓮縣"
"556","C1T810","花蓮縣"
"557","C1T830","花蓮縣"
"558","C1T920","花蓮縣"
"559","C1T940","花蓮縣"
"560","C1T950","花蓮縣"
"561","C1T970","花蓮縣"
"562","C1T980","花蓮縣"
"563","C1T990","花蓮縣"
"564","C1TA00","花蓮縣"
"565","C1U501","宜蘭縣"
"566","C1U670","宜蘭縣"
"567","C1U690","宜蘭縣"
"568","C1U830","宜蘭縣"
"569","C1U840","宜蘭縣"
"570","C1U850","宜蘭縣"
"571","C1U880","宜蘭縣"
"572","C1U920","宜蘭縣"
"573","C1V160","高雄市"
"574","C1V170","高雄市"
"575","C1V190","高雄市"
"576","C1V200","高雄市"
"577","C1V220","高雄市"
"578","C1V231","高雄市"
"579","C1V300","高雄市"
"580","C1V340","高雄市"
"581","C1V390","高雄市"
"582","C1V570","高雄市"
"583","C1V580","高雄市"
"584","C1V590","高雄市"
"585","C1V600","高雄市"
"586","C1V780","高雄市"
"587","C1X040","臺南市"
"588","C1Z030","花蓮縣"
"589","C1Z040","花蓮縣"
"590","C1Z110","花蓮縣"
"591","C1Z120","花蓮縣"
"592","C1Z130","花蓮縣"
"593","C1Z140","花蓮縣"
"594","C1Z240","花蓮縣"
"595","466921","臺北市"
"596","467411","臺南市"
"597","467570","新竹市"
"598","467780","臺南市"
"599","C0A510","新北市"
"600","C0A580","新北市"
"601","C0A590","新北市"
"602","C0A680","新北市"
"603","C0A710","新北市"
"604","C0A930","新北市"
"605","C0A990","臺北市"
"606","C0A9D0","新北市"
"607","C0A9G0","臺北市"
"608","C0A9H0","臺北市"
"609","C0A9I0","新北市"
"610","C0A9I1","新北市"
"611","C0AC90","新北市"
"612","C0AD20","新北市"
"613","C0C450","桃園市"
"614","C0C500","桃園市"
"615","C0C520","桃園市"
"616","C0C570","桃園市"
"617","C0C580","新竹縣"
"618","C0C610","桃園市"
"619","C0C640","桃園市"
"620","C0D370","新竹縣"
"621","C0D470","新竹縣"
"622","C0E410","新竹縣"
"623","C0E440","苗栗縣"
"624","C0E580","苗栗縣"
"625","C0E760","苗栗縣"
"626","C0F860","臺中市"
"627","C0F900","臺中市"
"628","C0F920","臺中市"
"629","C0F950","南投縣"
"630","C0F990","臺中市"
"631","C0G710","彰化縣"
"632","C0H980","南投縣"
"633","C0K290","雲林縣"
"634","C0K300","雲林縣"
"635","C0O890","臺南市"
"636","C0O910","臺南市"
"637","C0R340","屏東縣"
"638","C0R430","屏東縣"
"639","C0R500","屏東縣"
"640","C0S720","花蓮縣"
"641","C0T840","花蓮縣"
"642","C0T841","花蓮縣"
"643","C0T9C0","花蓮縣"
"644","C0U620","宜蘭縣"
"645","C0U640","宜蘭縣"
"646","C0U680","宜蘭縣"
"647","C0U730","宜蘭縣"
"648","C0V150","高雄市"
"649","C0V430","高雄市"
"650","C0X020","臺南市"
"651","C0Z060","花蓮縣"
"652","C0Z260","花蓮縣"
"653","C1A640","新北市"
"654","C1A650","新北市"
"655","C1A660","新北市"
"656","C1A670","新北市"
"657","C1A680","新北市"
"658","C1A690","臺北市"
"659","C1A700","新北市"
"660","C1A710","新北市"
"661","C1A720","臺北市"
"662","C1A740","新北市"
"663","C1A970","臺北市"
"664","C1AC80","臺北市"
"665","C1AC90","新北市"
"666","C1ACA0","新北市"
"667","C1C460","桃園市"
"668","C1C470","桃園市"
"669","C1C480","桃園市"
"670","C1C490","桃園市"
"671","C1C500","桃園市"
"672","C1C520","桃園市"
"673","C1C540","桃園市"
"674","C1C570","桃園市"
"675","C1C620","桃園市"
"676","C1D370","新竹縣"
"677","C1D390","新竹縣"
"678","C1D430","新竹縣"
"679","C1D440","新竹市"
"680","C1D480","新竹縣"
"681","C1D560","新竹縣"
"682","C1E440","苗栗縣"
"683","C1E450","苗栗縣"
"684","C1E460","苗栗縣"
"685","C1E470","苗栗縣"
"686","C1E490","苗栗縣"
"687","C1E500","苗栗縣"
"688","C1E510","苗栗縣"
"689","C1E520","苗栗縣"
"690","C1E540","苗栗縣"
"691","C1E550","苗栗縣"
"692","C1E560","苗栗縣"
"693","C1E570","苗栗縣"
"694","C1E590","苗栗縣"
"695","C1E600","苗栗縣"
"696","C1E680","苗栗縣"
"697","C1E690","苗栗縣"
"698","C1E700","苗栗縣"
"699","C1E710","苗栗縣"
"700","C1E720","苗栗縣"
"701","C1F000","臺中市"
"702","C1F850","臺中市"
"703","C1F870","臺中市"
"704","C1F880","臺中市"
"705","C1F890","臺中市"
"706","C1F910","臺中市"
"707","C1F920","臺中市"
"708","C1F930","臺中市"
"709","C1F940","臺中市"
"710","C1F960","臺中市"
"711","C1F970","臺中市"
"712","C1F980","臺中市"
"713","C1F990","臺中市"
"714","C1F9A0","臺中市"
"715","C1F9B0","臺中市"
"716","C1F9C0","臺中市"
"717","C1F9D0","臺中市"
"718","C1F9E0","臺中市"
"719","C1F9F0","臺中市"
"720","C1F9G0","臺中市"
"721","C1F9H0","臺中市"
"722","C1F9I0","臺中市"
"723","C1F9J0","臺中市"
"724","C1G620","彰化縣"
"725","C1G630","彰化縣"
"726","C1G631","彰化縣"
"727","C1G660","彰化縣"
"728","C1G670","彰化縣"
"729","C1G680","彰化縣"
"730","C1G690","彰化縣"
"731","C1G700","彰化縣"
"732","C1H850","南投縣"
"733","C1H870","南投縣"
"734","C1H880","南投縣"
"735","C1H890","南投縣"
"736","C1H910","南投縣"
"737","C1H930","南投縣"
"738","C1H940","南投縣"
"739","C1H950","南投縣"
"740","C1H960","南投縣"
"741","C1H970","南投縣"
"742","C1H9B0","南投縣"
"743","C1I040","南投縣"
"744","C1I060","南投縣"
"745","C1I080","南投縣"
"746","C1I100","南投縣"
"747","C1I120","南投縣"
"748","C1I130","南投縣"
"749","C1I160","南投縣"
"750","C1I170","南投縣"
"751","C1I180","臺中市"
"752","C1I190","南投縣"
"753","C1I200","南投縣"
"754","C1I210","南投縣"
"755","C1I270","南投縣"
"756","C1I300","南投縣"
"757","C1I350","南投縣"
"758","C1K230","雲林縣"
"759","C1K250","雲林縣"
"760","C1K260","雲林縣"
"761","C1K270","雲林縣"
"762","C1K310","雲林縣"
"763","C1K320","雲林縣"
"764","C1K340","雲林縣"
"765","C1K350","雲林縣"
"766","C1K380","雲林縣"
"767","C1M440","嘉義縣"
"768","C1M450","嘉義縣"
"769","C1M460","嘉義縣"
"770","C1M470","嘉義縣"
"771","C1M490","嘉義縣"
"772","C1M500","嘉義縣"
"773","C1M510","嘉義縣"
"774","C1M520","嘉義縣"
"775","C1M540","嘉義縣"
"776","C1M550","嘉義縣"
"777","C1M551","嘉義縣"
"778","C1M560","嘉義縣"
"779","C1M570","嘉義縣"
"780","C1M630","嘉義縣"
"781","C1N000","臺南市"
"782","C1O820","臺南市"
"783","C1O830","臺南市"
"784","C1O840","臺南市"
"785","C1O860","臺南市"
"786","C1O920","臺南市"
"787","C1O950","臺南市"
"788","C1O960","臺南市"
"789","C1O970","臺南市"
"790","C1O980","臺南市"
"791","C1O990","臺南市"
"792","C1P9A0","高雄市"
"793","C1R090","屏東縣"
"794","C1R130","屏東縣"
"795","C1R140","屏東縣"
"796","C1R160","屏東縣"
"797","C1R170","屏東縣"
"798","C1R180","高雄市"
"799","C1R190","屏東縣"
"800","C1R200","屏東縣"
"801","C1R201","屏東縣"
"802","C1R210","屏東縣"
"803","C1R230","屏東縣"
"804","C1R240","屏東縣"
"805","C1R260","屏東縣"
"806","C1R310","屏東縣"
"807","C1S620","臺東縣"
"808","C1S630","臺東縣"
"809","C1S640","臺東縣"
"810","C1S650","臺東縣"
"811","C1S660","臺東縣"
"812","C1T850","花蓮縣"
"813","C1T860","花蓮縣"
"814","C1T880","花蓮縣"
"815","C1T890","花蓮縣"
"816","C1T900","花蓮縣"
"817","C1T910","花蓮縣"
"818","C1T930","花蓮縣"
"819","C1U511","宜蘭縣"
"820","C1U521","宜蘭縣"
"821","C1U580","宜蘭縣"
"822","C1U590","宜蘭縣"
"823","C1U610","宜蘭縣"
"824","C1U620","宜蘭縣"
"825","C1U630","宜蘭縣"
"826","C1U660","宜蘭縣"
"827","C1U680","宜蘭縣"
"828","C1U700","宜蘭縣"
"829","C1U720","宜蘭縣"
"830","C1U860","宜蘭縣"
"831","C1V180","高雄市"
"832","C1V210","高雄市"
"833","C1V230","高雄市"
"834","C1V240","高雄市"
"835","C1V260","高雄市"
"836","C1V270","高雄市"
"837","C1V280","高雄市"
"838","C1V290","高雄市"
"839","C1V320","高雄市"
"840","C1V330","高雄市"
"841","C1V350","高雄市"
"842","C1V360","高雄市"
"843","C1V380","高雄市"
"844","C1V400","高雄市"
"845","C1V410","高雄市"
"846","C1V420","高雄市"
"847","C1V430","高雄市"
"848","C1V440","高雄市"
"849","C1V450","高雄市"
"850","C1V451","高雄市"
"851","C1V460","高雄市"
"852","C1V530","高雄市"
"853","C1X010","臺南市"
"854","C1X030","臺南市"
"855","C1X050","臺南市"
"856","C1X060","臺南市"
"857","C1X070","臺南市"
"858","C1X090","臺南市"
"859","C1Z010","花蓮縣"
"860","C1Z020","花蓮縣"
"861","C1Z090","花蓮縣"
