"date","name","cas-total","cas-death","cas-miss","cas-重傷","cas-輕傷","房損-全倒-棟","房損-全倒-戶","房損-半倒-棟","房損-半倒-戶","rescued victims","res-total","res-消防","res-義消","res-警察","res-駐軍","res-其他","equi-車","equi-船","equi-直升機","equi-其他"
"年度/發生日期
Date of Happening/NA","名稱","人員傷亡  (人)
Casualties (Persons)",NA,NA,NA,NA,"房屋損失
Losing of House",NA,NA,NA,"搶救災民人數(人)","出動救災人員(人次)
Disaster Rescuers (Times of Persons)",NA,NA,NA,NA,NA,"出動救災裝備
Disaster Equipment 
",NA,NA,NA
"NA/NA/NA",NA,NA,NA,NA,NA,NA,"全倒
All Destroyed",NA,"半倒
Half Destroyed",NA,NA,"計","消防人員","義消人員","警察及
義警","駐軍","其他","車輛(輛)","船艇(艘)","直昇機(架)","其他"
"NA/月/日",NA,"計","死亡人數","失蹤人數","重傷人數","輕傷人數","棟","戶","棟","戶","Rescued
Victims",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA/Month/Day","Name","Total","Death","Missing","Wounded
Heavily","Wounded
lightly","Buil-
dings","House-
holds","Buil-
dings","House-
holds","(Persons)","Total","Firemen","Voluntary
Firemen","Police & 
Voluntary
Police","Soldiers","Others","Vehicles","Bosts","Helicopters","Others"
"2000/7/7","啟德","1","0","0","0","1","0","0","0","0","0","3955","684","1090","1604","23","554","283","21","0","0"
"2000/8/21","碧利斯","133","14","7","2","110","…","434","…","1725","0","21067","4528","6012","2146","4463","3918","729","156","0","0"
"2000/8/28","巴比倫","0","0","0","0","0","0","0","0","0","0","6380","1126","2140","846","1259","1009","128","0","0","0"
"2000/9/8","寶發","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2000/10/24","雅吉","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2000/10/29","象神","154","64","25","0","65","0","0","0","0","0","58766","11391","11956","8518","18080","8821","1109","833","0","0"
"2001/5/11","西馬隆","0","0","0","0","0","0","0","0","0","0","460","195","211","54","0","0","25","0","0","0"
"2001/6/22","奇比","154","14","16","11","113","0","1","0","6","0","1244","325","316","103","500","0","44","0","0","0"
"2001/7/3","尤特","7","1","0","0","6","0","0","0","0","0","1792","687","750","355","0","0","210","0","0","0"
"2001/7/10","潭美","5","5","0","0","0","0","0","0","0","0","4357","1548","1749","1045","0","15","647","42","0","0"
"2001/7/28","桃芝","402","111","103","0","188","…","645","…","1972","606","14213","3478","4271","2159","3000","1305","1058","0","49","374"
"2001/9/15","納莉","369","94","10","19","246","0","0","0","0","1866","13734","2845","3022","2610","3800","1457","1226","162","0","503"
"2001/9/24","利其馬","0","0","0","0","0","0","0","0","0","0","483","164","233","86","0","0","69","0","0","0"
"2001/10/15","海燕","2","0","0","0","2","0","0","0","0","0","960","344","412","204","0","0","88","0","0","0"
"2002/7/2","雷馬遜","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2002/7/9","辛樂克","5","3","0","0","2","0","0","0","0","5829","22064","12097","1706","3743","4294","224","6532","95","0","0"
"2002/9/7","娜克莉","13","2","1","1","9","0","0","0","0","133","171","62","61","48","0","0","26","11","3","0"
"2003/4/24","柯吉拉","0","0","0","0","0","0","0","0","0","0","1513","1498","10","5","0","0","748","0","0","0"
"2003/6/1","南卡","0","0","0","0","0","0","0","0","0","0","22","10","12","0","0","0","4","0","0","0"
"2003/6/16","蘇迪勤","0","0","0","0","0","0","0","0","0","0","23","11","12","0","0","0","4","0","0","0"
"2003/8/3","莫拉克","0","0","0","0","0","0","0","0","0","3","57","21","22","0","0","14","11","0","0","0"
"2003/8/19","梵高","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2003/8/31","杜鵑","6","2","1","0","3","0","0","0","0","149","3126","461","1069","591","692","313","140","12","0","0"
"2003/11/2","米勒","6","4","0","0","2","0","0","0","0","125","346","107","206","23","0","10","18","0","15","0"
"2004/6/7","康森","0","0","0","0","0","0","0","0","0","276","4562","1618","513","1253","304","874","1067","33","67","152"
"2004/6/28","敏督立","8","3","1","0","4","0","270","0","0","1940","31784","10981","3618","8798","2183","6204","7522","214","457","1068"
"2004/7/14","康伯斯","0","0","0","0","0","0","0","0","0","195","3172","1096","362","877","219","618","749","20","45","106"
"2004/8/10","蘭寧","0","0","0","0","0","0","0","0","0","258","4237","1464","481","1171","292","829","1001","28","60","143"
"2004/8/23","艾利","424","14","15","0","395","72","72","44","44","2782","45488","15679","5183","12608","3130","8888","10780","304","654","1531"
"2004/9/11","海馬","6","5","1","0","0","0","0","0","0","322","5302","1832","603","1467","365","1035","1256","34","76","178"
"2004/9/26","米雷","0","0","0","0","0","0","0","0","0","452","7412","2561","844","2051","509","1447","1755","50","107","249"
"2004/10/23","納坦","110","4","2","0","104","0","0","0","0","16","263","92","29","73","18","51","61","2","4","9"
"2004/12/3","南瑪都","5","1","3","0","1","0","0","0","0","227","3708","1281","421","1025","256","725","875","25","53","125"
"2005/7/16","海棠","46","13","2","0","31","26","21","3","12","581","15347","3755","617","7913","2189","873","1984","34","24","122"
"2005/8/4","馬莎","2","0","0","0","2","0","0","0","0","233","6152","1507","247","3173","875","350","794","14","10","49"
"2005/8/30","泰利","64","5","0","0","59","0","0","2","3","697","18445","4515","737","9519","2626","1048","2387","42","28","147"
"2005/9/30","龍王","56","1","2","0","53","0","6","0","127","812","21573","5273","862","11140","3063","1235","2689","45","32","168"
"2006/5/16","珍珠","0","0","0","0","0","0","0","0","0","76","4289","533","359","3184","213","0","380","8","2","127"
"2006/7/12","碧利斯","5","3","0","0","2","0","0","0","0","47","15912","4355","1011","8026","111","2409","2323","28","1","100"
"2006/7/23","凱米","4","0","0","0","4","2","2","13","13","16","14270","2867","997","7077","108","3221","2704","25","3","133"
"2006/8/7","寶發","0","0","0","0","0","0","0","0","0","37","8083","1305","413","4171","123","2071","1272","4","0","90"
"2006/8/9","桑美","0","0","0","0","0","0","0","0","0","33","6399","3274","765","1313","64","983","1193","9","1","129"
"2007/8/6","帕布","0","0","0","0","0","0","0","0","0","68","13909","2046","485","7653","0","3725","5566","1","0","48"
"2007/8/8","梧提","0","0","0","0","0","0","0","0","0","47","11979","1473","427","6000","150","3929","5012","3","0","45"
"2007/8/16","聖帕","19","1","1","0","17","0","0","55","59","506","45501","5322","3582","20605","1500","14492","10593","17","2","70"
"2007/9/17","韋帕","4","1","0","0","3","0","0","0","0","20","22921","2277","555","8142","0","11947","5949","0","0","24"
"2007/10/4","柯羅莎","141","11","2","5","123","4","4","26","26","396","56326","10308","3022","23216","482","19298","12304","18","1","77"
"2007/11/26","米塔","0","0","0","0","0","0","0","0","0","12","2911","349","166","2349","0","47","638","0","0","20"
"2008/7/16","卡玫基","34","20","6","0","8","8","0","1","2","1237","21828","7645","3805","5244","2838","2296","3706","658","0","114"
"2008/7/26","鳳凰","9","3","0","0","6","0","0","0","1","702","55446","7262","2444","37528","287","7925","8262","36","1","459"
"2008/8/19","如麗","0","0","0","0","0","0","0","0","0","0","2228","35","7","2166","0","20","866","1","0","0"
"2008/9/11","辛樂克","48","15","7","2","24","27","66","7","7","494","63073","15822","5499","27183","2603","11966","11889","188","112","1200"
"2008/9/21","哈格比","0","0","0","0","0","0","0","0","0","0","1679","47","10","1622","0","0","593","2","0","0"
"2008/9/26","薔蜜","70","4","1","3","62","0","0","6","7","195","53071","11447","3886","27795","1826","8117","10148","149","0","184"
"2009/6/19","蓮花","2","0","0","0","2","0","0","0","0","18","2034","373","154","1359","0","148","510","6","1","0"
"2009/8/5","莫拉克","2258","643","60","400","1155","640","99","198","250","63625","565364","51660","26578","215581","242175","29370","54863","3469","3895","4406"
"2009/10/3","芭瑪","1","1","0","0","0","0","0","0","0","171","12369","626","455","7896","3169","223","1096","228","0","67"
"2010/8/30","南修","0","0","0","0","0","0","0","0","0","1","994","305","20","166","148","355","193","0","0","11"
"2010/8/31","萊蘿克","0","0","0","0","0","0","0","0","0","193","6661","268","43","2477","3745","128","727","20","0","92"
"2010/9/9","莫蘭蒂","1","0","0","0","1","0","0","0","0","6","3747","341","54","1728","1605","19","245","15","0","19"
"2010/9/17","凡那比","63","2","0","1","60","0","0","4","79","5494","93841","15161","5081","28994","40156","4449","10957","850","2","673"
"2010/10/21","梅姬","135","38","0","0","97","0","26","0","79","6048","91657","5727","1024","29097","49837","5972","4731","1270","166","770"
"2011/5/9","艾利","0","0","0","0","0","0","0","0","0","0","286","3","0","159","124","0","0","0","0","0"
"2011/5/27","桑達","0","0","0","0","0","0","0","0","0","0","803","405","0","398","0","0","5","0","0","0"
"2011/6/24","米雷","0","0","0","0","0","0","0","0","0","0","744","528","80","136","0","0","249","0","0","49"
"2011/8/4","梅花","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","1","0","0","0"
"2011/8/27","南瑪都","2","0","0","0","2","0","0","11","11","3890","47120","4060","3084","31209","6286","2481","7252","113","0","797"
"2012/6/19","泰利","2","1","0","0","1","0","0","0","2","765","31012","4752","1184","19109","4592","1375","9950","47","0","15"
"2012/6/28","杜蘇芮","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2012/7/30","蘇拉","25","7","0","1","17","14","14","8","10","3302","60609","8734","2468","28862","10362","10183","18366","49","23","3552"
"2012/8/6","海葵","0","0","0","0","0","0","0","0","0","0","18","6","0","8","0","4","8","0","0","0"
"2012/8/14","啟德","0","0","0","0","0","0","0","0","0","0","1257","13","0","1198","8","38","489","0","0","0"
"2012/8/21","天秤","8","0","0","2","6","1","1","0","117","4650","52801","4412","2750","35592","7504","2543","16134","34","0","0"
"2012/9/27","杰拉華","0","0","0","0","0","0","0","0","0","0","2317","67","0","2029","0","221","1390","0","0","0"
"2013/7/12","蘇力","127","3","0","6","118","1","6","50","65","1911","49456","10106","1371","26418","5315","6246","8462","490","11","11760"
"2013/7/17","西馬隆","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013/8/20","潭美","10","0","0","0","10","0","0","0","0","833","27341","2666","287","19221","1465","3702","8185","5","0","23"
"2013/8/27","康芮","23","6","0","0","17","1","1","2","0","848","25921","3158","804","17266","3276","1417","8976","239","0","193"
"2013/9/20","天兔","12","0","0","0","12","0","0","0","0","293","18698","2274","468","13353","1264","1339","5035","17","0","16"
"2013/10/5","菲特","0","0","0","0","0","0","0","0","0","286","7621","1301","44","5133","320","823","4082","0","0","28"
"2014/6/14","哈吉貝","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014/7/21","麥德姆","22","0","0","3","19","0","6","0","53","641","25519","2585","306","15841","2050","4737","7279","14","0","25"
"2014/9/20","鳳凰","6","1","0","0","5","0","1","0","8","33","21234","2709","466","15386","1699","974","7301","0","0","0"
"2015/5/10","紅霞","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015/7/6","蓮花","0","0","0","0","0","0","0","0","0","0","1477","527","15","811","124","0","691","0","0","0"
"2015/7/9","昌鴻","6","0","0","0","6","0","0","0","0","0","4041","2356","13","594","22","1056","1116","0","0","0"
"2015/8/6","蘇迪勒","451","8","4","19","420","10","30","53","137","265","169780","27278","1334","23197","19449","98522","38801","89","64","21018"
"2015/8/20","天鵝","0","0","0","0","0","0","0","0","0","0","439","88","0","48","300","3","264","0","0","0"
"2015/9/27","杜鵑","398","5","0","17","376","1","1","6","1","26","37881","5781","444","14768","6211","10677","8529","17","0","3655"
"2016/7/6","尼伯特","307","2","0","12","293","1","1","0","275","728","23699","4615","336","0","15","13113","567","598","3416","1039"
"2016/9/13","莫蘭蒂","77","2","0","0","75","0","8","3","22","37","42781","2199","244","0","1","14466","1028","791","13966","10086"
"2016/9/16","馬勒卡","0","0","0","0","0","0","0","0","2","0","3971","1245","11","0","0","908","79","49","418","1261"
"2016/9/26","梅姬","723","9","0","13","701","0","2","10","120","829","67464","10354","275","36","44","20107","417","1068","4340","30823"
"2016/10/5","艾利","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017/7/28","尼莎暨海棠","140","1","0","7","132","0","0","7","7","173","32661","4568","253","93","86","19771","731","405","2929","3825"
"2017/8/20","天鴿","0","0","0","0","0","0","0","0","0","0","5350","369","5","0","0","4468","209","80","193","26"
"2017/9/6","谷超","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017/9/12","泰利","0","0","0","0","0","0","0","0","0","0","1212","6","0","0","0","291","0","0","0","915"
"2018/7/9","瑪莉亞","14","0","0","0","14","0","0","0","0","4","10541","934","81","0","10","4403","175","172","226","4540"
"2018/9/14","山竹颱風","0","0","0","0","0","0","0","0","0","1","4","4","0","0","0","0","0","0","0","0"
